Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
16245295,The Lock and Key Library Classic Mystery and Detective Stories: Modern English,Julian Hawthorne,"Hawthorne, Julian",Rudyard Kipling,"=""1781393087""","=""9781781393086""",0,3.50,Benediction Classics,Paperback,386,2012,2012,,2013/07/26,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
9500629,Clementine Vulgate,Jerome,"Jerome, Jerome",,"=""""","=""""",0,4.63,,Kindle Edition,1980,,328,,2014/04/20,"currently-reading, classics, latin","currently-reading (#2), classics (#41), latin (#5)",currently-reading,,,,1,,,0,,,,,
36664344,"Sing, Unburied, Sing",Jesmyn Ward,"Ward, Jesmyn",,"=""1501126075""","=""9781501126079""",0,4.02,Scribner,Paperback,320,2018,2017,,2019/10/25,to-read,to-read (#101),to-read,,,,0,,,0,,,,,
18293427,The Storied Life of A.J. Fikry,Gabrielle Zevin,"Zevin, Gabrielle",,"=""1616203218""","=""9781616203214""",0,3.99,Algonquin Books,Hardcover,260,2014,2014,,2019/08/07,,,read,,,,1,,,0,,,,,
45284198,Secret Soldiers: How the U.S. Twenty-Third Special Troops Fooled the Nazis,Paul B. Janeczko,"Janeczko, Paul B.",,"=""""","=""""",0,3.31,Candlewick Press,Kindle Edition,305,2019,2019,,2019/06/23,to-read,to-read (#100),to-read,,,,0,,,0,,,,,
12527,Pilgrim at Tinker Creek,Annie Dillard,"Dillard, Annie",,"=""0072434171""","=""9780072434170""",0,4.09,Harper Perennial,Paperback,288,2000,1974,2019/05/28,2019/02/01,book-club,book-club (#252),read,,,,1,,,0,,,,,
16697,The Mysteries of Pittsburgh,Michael Chabon,"Chabon, Michael",,"=""0060790598""","=""9780060790592""",0,3.64,Harper Perennial,Paperback,320,2005,1988,2019/05/28,2018/06/25,,,read,,,,1,,,0,,,,,
13316328,"The Last Dragonslayer (The Last Dragonslayer, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0547738471""","=""9780547738475""",0,3.87,HMH Books for Young Readers,Hardcover,296,2012,2010,2019/05/28,2014/11/16,,,read,,,,1,,,0,,,,,
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",Jashar Awan,"=""""","=""""",0,4.31,Alfred A. Knopf,Hardcover,477,2013,2013,2019/05/28,2013/11/30,book-club,book-club (#253),read,,,,1,,,0,,,,,
17654741,Seven Elements That Have Changed the World: An Adventure of Ingenuity and Discovery,John Browne,"Browne, John",,"=""1605985406""","=""9781605985404""",0,3.60,Pegasus Books,Hardcover,288,2014,2013,,2018/06/25,,,read,,,,1,,,0,,,,,
17262526,"How to Age in Place: Planning for a Happy, Independent, and Financially Secure Retirement",Mary A. Languirand,"Languirand, Mary A.",Robert F. Bornstein,"=""1607744163""","=""9781607744160""",0,3.60,Ten Speed Press,Paperback,256,2013,2013,,2018/06/25,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
682761,The Nazi Officer's Wife: How One Jewish Woman Survived the Holocaust,Edith Hahn Beer,"Beer, Edith Hahn",Susan Dworkin,"=""068817776X""","=""9780688177768""",0,4.16,William Morrow Paperbacks,Paperback,305,2000,1999,,2018/06/25,,,read,,,,1,,,0,,,,,
14458908,"Washed Away: How the Great Flood of 1913, America's Most Widespread Natural Disaster, Terrorized a Nation and Changed It Forever",Geoff Williams,"Williams, Geoff",,"=""1605984043""","=""9781605984049""",0,3.58,Pegasus Books,Hardcover,336,2013,2007,,2018/06/25,,,read,,,,1,,,0,,,,,
24805680,Dark Matter and the Dinosaurs: The Astounding Interconnectedness of the Universe,Lisa Randall,"Randall, Lisa",,"=""0062328514""","=""9780062328519""",0,3.66,Ecco,ebook,432,2015,2015,,2018/06/25,,,read,,,,1,,,0,,,,,
23847956,"Wrath of the Furies (Ancient World, #3)",Steven Saylor,"Saylor, Steven",,"=""1250015987""","=""9781250015983""",0,3.95,Minotaur Books,Hardcover,320,2015,2015,,2018/03/19,mystery,mystery (#151),read,,,,1,,,0,,,,,
3131983,"The Triumph of Caesar (Roma Sub Rosa, #12)",Steven Saylor,"Saylor, Steven",,"=""1845295676""","=""9781845295677""",0,3.92,St Martin,Hardcover,271,2008,2004,,2018/03/19,mystery,mystery (#150),read,,,,1,,,0,,,,,
102713,"A Gladiator Dies Only Once (Roma Sub Rosa, #11)",Steven Saylor,"Saylor, Steven",,"=""0312357443""","=""9780312357443""",0,3.95,St. Martin's Griffin,Paperback,288,2006,2005,,2018/03/19,"currently-reading, mystery","currently-reading (#8), mystery (#149)",currently-reading,,,,1,,,0,,,,,
388674,"To Shield the Queen (Ursula Blanchard, #1)",Fiona Buckley,"Buckley, Fiona",,"=""0671015311""","=""9780671015312""",0,3.73,Pocket Books,Paperback,328,1998,1997,,2017/07/07,mystery,mystery (#148),read,,,,1,,,0,,,,,
18751125,Bewreathed (Deborah Knott Short Stories),Margaret Maron,"Maron, Margaret",,"=""""","=""""",0,4.28,Maron and Company,Kindle Edition,17,2012,2012,,2017/07/03,mystery,mystery (#147),read,,,,1,,,0,,,,,
30008702,Nutshell,Ian McEwan,"McEwan, Ian",,"=""""","=""""",0,3.67,Nan A. Talese,Hardcover,208,2016,2016,,2016/12/18,,,read,,,,1,,,0,,,,,
3722183,"A God in Ruins (Todd Family, #2)",Kate Atkinson,"Atkinson, Kate",Alex Jennings,"=""0316176532""","=""9780316176538""",0,3.94,"Little, Brown and Company",Hardcover,468,2015,2015,,2016/01/16,,,read,,,,1,,,0,,,,,
312260,The History Boys,Alan Bennett,"Bennett, Alan",,"=""0571224644""","=""9780571224647""",0,4.06,Faber  Faber,Paperback,109,2004,2004,,2014/03/19,,,read,,,,1,,,0,,,,,
